gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster
APOBEC3G,0.000000015,0.876,0.769,0.263,0.000212,5
PTPRC,0.0000000247,0.823,1,0.988,0.000349,5
CCL5,0.0000000657,1.26,0.962,0.467,0.000929,5
ARHGAP26,0.000000104,0.452,0.462,0.097,0.00147,5
XCL2,0.000000114,0.383,0.308,0.039,0.00161,5
CST7,0.00000014,0.942,0.962,0.471,0.00198,5
CD8A,0.000000268,0.894,1,0.78,0.00378,5
LDHB,0.0000005,-0.927,0.615,0.884,0.00707,5
LTB,0.000000826,-1.32,0.154,0.66,0.0117,5
SEPTIN11,0.00000195,0.305,0.231,0.027,0.0276,5
GZMH,0.00000199,0.52,0.231,0.027,0.0282,5
LDHA,0.00000256,0.892,0.923,0.683,0.0362,5
SELL,0.00000274,-1.28,0.038,0.544,0.0387,5
